project_id,category_id,category_name,parent_id,status_set_id,status_set_name,custom_attributes
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,17,Columns,2,5c74cb5c-7918-4651-bf01-b35e7a21c924,Structural Elements Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,18,Beams,2,5c74cb5c-7918-4651-bf01-b35e7a21c924,Structural Elements Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,19,Slabs,2,5c74cb5c-7918-4651-bf01-b35e7a21c924,Structural Elements Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,20,External Walls,3,9aea8b06-885f-409b-b736-b3c04c4d6db5,General Construction Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,21,Internal Walls,3,9aea8b06-885f-409b-b736-b3c04c4d6db5,General Construction Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,22,Doors,4,9aea8b06-885f-409b-b736-b3c04c4d6db5,General Construction Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,23,Windows,4,9aea8b06-885f-409b-b736-b3c04c4d6db5,General Construction Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,24,ACMV Equipment,10,9ed406fe-ed67-4f3a-9db8-c4905f76b8a9,MEP Systems Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,25,Pumps & Motors,10,9ed406fe-ed67-4f3a-9db8-c4905f76b8a9,MEP Systems Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,26,Lighting Fixtures,11,9ed406fe-ed67-4f3a-9db8-c4905f76b8a9,MEP Systems Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,27,Switchboards & Panels,11,9ed406fe-ed67-4f3a-9db8-c4905f76b8a9,MEP Systems Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,28,Fire Sprinklers,13,9ed406fe-ed67-4f3a-9db8-c4905f76b8a9,MEP Systems Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
6a70e8a2-6bb3-4b52-9697-d47861d5e6c3,29,Fire Alarms & Detectors,13,9ed406fe-ed67-4f3a-9db8-c4905f76b8a9,MEP Systems Lifecycle,IFCGlobalId;Trade;Subcontractor;Supplier;Drawing Reference;Location/Zone;Level;Grid Reference;Material Type;Fire Rating;Planned Installation Date;Actual Installation Date;Inspector;Inspection Date;Quantity;Unit;Manufacturer;Model Number;Warranty Period (Months);Remarks
